名字,官网,下载地址,GitHub地址,主要用处,最新版本更新时间
CC Switch,https://www.ccswitch.io/zh/,https://github.com/farion1231/cc-switch/releases,https://github.com/farion1231/cc-switch,AI编程CLI工具统一配置管理器，支持Claude Code、Codex、Gemini CLI等，提供自动故障转移、API测速、配置备份等功能,2026年4月30日 (v3.13.0)
VS Code,https://code.visualstudio.com/,https://code.visualstudio.com/download,https://github.com/microsoft/vscode,轻量级但功能强大的源代码编辑器，支持多种编程语言和丰富的插件生态,2026年5月6日 (v1.119.0)
Codex,https://openai.com/codex,https://github.com/openai/codex/releases,https://github.com/openai/codex,OpenAI官方推出的终端级AI编程助手，支持CLI、桌面应用和IDE集成,2026年4月25日
Claude,https://claude.ai/,https://claude.ai/download,无,Anthropic推出的AI助手，提供Claude Code终端编程工具，支持代码编写、调试和重构,2026年4月30日
Trae,https://www.trae.cn/ (国内版); https://trae.ai/ (海外版),https://www.trae.cn/download,无,字节跳动旗下AI原生集成开发环境，搭载豆包大模型，支持代码生成、项目构建和远程开发,2026年3月9日 (v3.5.36)
飞书,https://www.feishu.cn/,https://www.feishu.cn/download,无,一站式企业协作与管理平台，整合即时沟通、云文档、音视频会议、多维表格等功能,2026年4月14日 (v7.66.0.0)
WorkBuddy,https://www.codebuddy.cn/work/,https://www.codebuddy.cn/work/,无,腾讯推出的AI原生桌面智能体工作台，支持自然语言驱动完成文档生成、数据分析、PPT制作等办公任务,2026年5月6日 (v4.21+)
UU远程,https://uuyc.163.com/,https://uuyc.163.com/download,无,网易出品的免费远程控制软件，支持真4K画质、超低延迟、文件传输和远程游戏,2026年5月9日 (v4.23.0)
Clash Verge Rev,https://clash-verge.org/,https://clash-verge.org/zh-CN/download,https://github.com/clash-verge-rev/clash-verge-rev,基于Clash Meta(mihomo)内核的跨平台代理客户端，支持VLESS、Reality等新协议,2026年3月22日 (v2.4.7)
Chrome,https://www.google.cn/intl/zh-CN/chrome/,https://www.google.cn/intl/zh-CN/chrome/,https://github.com/google/chrome,谷歌开发的跨平台网页浏览器，速度快、安全性高，支持丰富的扩展程序,2026年5月7日 (v148.0.7727.24)
豆包,https://www.doubao.com/,https://www.doubao.com/download/desktop,无,字节跳动推出的全能型AI助手，支持AI搜索、写作辅助、代码生成、图像创意等功能,2026年4月21日 (v2.2.3)
Cherry Studio,https://cherry-ai.com/,https://cherry-ai.com/download,https://github.com/CherryHQ/cherry-studio,跨平台AI聊天客户端，支持300+AI模型，具备自主Agent能力和本地知识库功能,2026年4月30日 (v1.9.4)
PowerShell 7,https://learn.microsoft.com/zh-cn/powershell/,https://github.com/PowerShell/PowerShell/releases,https://github.com/PowerShell/PowerShell,跨平台任务自动化和配置管理框架，兼容Windows PowerShell,2026年3月18日 (v7.6.0)
通达信,https://www.tdx.com.cn/,https://www.tdx.com.cn/soft.html,无,专业的股票行情分析和交易软件，支持A股、港股、美股、期货等多市场,2025年11月10日 (v7.71)
NSSM,https://nssm.cc/,https://nssm.cc/download,https://github.com/nssmgr/NSSM,将任意可执行程序(控制台、GUI、脚本)注册为Windows服务的工具，支持自动重启,2017年4月26日 (v2.24-101)
FRP,https://gofrp.org/,https://github.com/fatedier/frp/releases,https://github.com/fatedier/frp,快速反向代理工具，用于内网穿透，支持TCP、UDP、HTTP、HTTPS等协议,2026年3月20日 (v0.68.0)
CLIProxyAPI,无,https://github.com/router-for-me/CLIProxyAPI/releases,https://github.com/router-for-me/CLIProxyAPI,AI API代理服务，统一管理多个AI模型接口，支持负载均衡和故障转移,2026年4月21日 (v6.9.31)
CLIProxyAPI Dashboard,无,https://github.com/itsmylife44/cliproxyapi-dashboard/releases,https://github.com/itsmylife44/cliproxyapi-dashboard,CLIProxyAPI的Web管理界面，提供配置同步、OAuth提供商管理和监控功能,2026年4月21日
New API,https://docs.newapi.pro/,https://github.com/QuantumNous/new-api/releases,https://github.com/QuantumNous/new-api,新一代大模型网关和AI资产管理平台，支持40+AI模型，统一为OpenAI兼容格式,2026年5月6日 (v1.1.138)
Claude Relay Service,无,https://github.com/Wei-Shaw/claude-relay-service/releases,https://github.com/Wei-Shaw/claude-relay-service,自托管的Claude API中继服务，支持多账户管理和负载均衡,2026年3月26日 (v1.1.297)
ComfyUI,https://comfyanonymous.github.io/ComfyUI/,https://github.com/Comfy-Org/ComfyUI/releases,https://github.com/Comfy-Org/ComfyUI,模块化的AI图像生成工具，基于节点的工作流设计，支持Stable Diffusion等模型,2026年4月28日 (v0.20.1)
LiteMonitor,https://litemonitor.cn/,https://github.com/Diorser/LiteMonitor/releases,https://github.com/Diorser/LiteMonitor,轻量级、可定制的 Windows 桌面和任务栏硬件性能监控工具，支持 CPU、GPU、内存、磁盘、网络、FPS、插件和内存清理,2026年2月12日 (v1.3.4)
